UNIPROT_ACCESSION	Name	Species
P34885	Protein Kinase C	Caenorhabditis elegans
Q05423	fatty acid binding protein 7, brain	Gallus gallus
Q32NH8	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase delta 4	Xenopus laevis
Q9NJ15	Proprotein convertase subtilisin/kexin type 5	Branchiostoma californiense
Q5R5V4	integrin-linked kinase	Pongo abelii
P11029	acetyl-Coenzyme A carboxylase alpha	Gallus gallus
O68965	Inositol 2-dehydrogenase	Sinorhizobium meliloti
O73817	proteasome subunit C10-11	Oncorhynchus mykiss
Q8AVG9	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1	Xenopus laevis
Q60722	transcription factor 4	Mus musculus
Q5RB40	histocompatibility (minor) HA-1	Pongo abelii
Q14588	zinc finger protein 234	Homo sapiens
P09917	arachidonate 5-lipoxygenase	Homo sapiens
Q13702	receptor-associated protein of the synapse	Homo sapiens
Q9BG94	Nuclear receptor subfamily 0 group B member 1	Callithrix jacchus
P33945	wingless-type MMTV integration site family, member 5	Xenopus laevis
Q8WXX0	dynein, axonemal, heavy chain 7	Homo sapiens
Q9V3G7	26S proteasome non-ATPase regulatory subunit 6	Drosophila melanogaster
Q9UM22	ependymin related protein 1 (zebrafish)	Homo sapiens
P09324	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1	Gallus gallus
A2VDP6	family with sequence similarity 55, member C	Bos taurus
P97280	Inter-alpha-trypsin inhibitor heavy chain H3	Mesocricetus auratus
Q90889	v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)	Gallus gallus
Q06496	solute carrier family 34 (sodium phosphate), member 1	Rattus norvegicus
Q5EB73	similar to RIKEN cDNA 2810432L12	Rattus norvegicus
P48809	Heterogeneous nuclear ribonucleoprotein at 27C	Drosophila melanogaster
B2GUZ1	ubiquitin specific peptidase 4 (proto-oncogene)	Rattus norvegicus
Q09225	Nose Resistant to Fluoxetine	Caenorhabditis elegans
P30622	CAP-GLY domain containing linker protein 1	Homo sapiens
P13010	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining)	Homo sapiens
P28622	Endoglucanase 4	Bacillus sp. KSM-522
Q6P823	MGC89877 protein	Xenopus (Silurana) tropicalis
Q5R4J5	DKFZP459P193 protein	Pongo abelii
P84104	predicted gene 7509; splicing factor, arginine/serine-rich 3 (SRp20); similar to MGC89287 protein; predicted gene 9761; predicted gene 7083	Mus musculus
Q3SY69	aldehyde dehydrogenase 1 family, member L2	Homo sapiens
Q8WWW0	Ras association (RalGDS/AF-6) domain family member 5	Homo sapiens
Q6ZT12	ubiquitin protein ligase E3 component n-recognin 3 (putative)	Homo sapiens
Q9H3F6	potassium channel tetramerisation domain containing 10	Homo sapiens
Q8N954	coiled-coil domain containing 75	Homo sapiens
Q8BKC5	hypothetical protein LOC100044315; importin 5	Mus musculus
Q9Y2F5	KIAA0947	Homo sapiens
Q68F72	MGC80026 protein	Xenopus laevis
P08775	polymerase (RNA) II (DNA directed) polypeptide A	Mus musculus
P59723	hypoxia-inducible factor 1, alpha subunit inhibitor	Danio rerio
Q5RBP9	macrophage expressed 1	Pongo abelii
O15027	SEC16 homolog A (S. cerevisiae)	Homo sapiens
P05708	hexokinase 1	Rattus norvegicus
O14522	protein tyrosine phosphatase, receptor type, T	Homo sapiens
Q9DCN1	nudix (nucleoside diphosphate linked moiety X)-type motif 12	Mus musculus
P53445	Fructose-bisphosphate aldolase, muscle type	Lethenteron japonicum
P24899	T-cell acute lymphocytic leukemia 1	Gallus gallus
Q9W735	prominin 1a	Danio rerio
Q5RFU0	sialic acid acetylesterase	Pongo abelii
P52209	phosphogluconate dehydrogenase	Homo sapiens
Q8TAQ5	zinc finger protein 420	Homo sapiens
Q8K1T0	transmembrane protease, serine 3	Mus musculus
Q6ZMW2	zinc finger protein 782	Homo sapiens
Q9BYK8	peroxisomal proliferator-activated receptor A interacting complex 285	Homo sapiens
Q5ZL67	nuclear factor (erythroid-derived 2)-like 1	Gallus gallus
Q2LAM0	fatty acid 2-hydroxylase	Rattus norvegicus
P56520	histone deacetylase 3	Gallus gallus
Q99958	forkhead box C2 (MFH-1, mesenchyme forkhead 1)	Homo sapiens
Q9Y2Q0	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1	Homo sapiens
Q8TDX6	chondroitin sulfate N-acetylgalactosaminyltransferase 1	Homo sapiens
Q5F3L9	chromosome 6 open reading frame 32	Gallus gallus
P58682	toll-like receptor 8	Mus musculus
Q9UDY8	mucosa associated lymphoid tissue lymphoma translocation gene 1	Homo sapiens
P61082	ubiquitin-conjugating enzyme E2M (UBC12 homolog, yeast)	Mus musculus
Q6NZW8	ADP-ribosylation factor-like 8Ba	Danio rerio
Q6P823	H3 histone, family 3B (H3.3B)	Xenopus (Silurana) tropicalis
Q9UPR0	phospholipase C-like 2	Homo sapiens
Q6P8M1	TatD DNase domain containing 1	Mus musculus
Q08BU1	mediator of RNA polymerase II transcription, subunit 8 homolog (yeast)	Xenopus (Silurana) tropicalis
P54725	RAD23 homolog A (S. cerevisiae)	Homo sapiens
Q9P0J7	potassium channel modulatory factor 1	Homo sapiens
Q6EE31	chaperonin containing TCP1, subunit 8 (theta)	Gallus gallus
Q99MN1	similar to lysyl-tRNA synthetase; lysyl-tRNA synthetase	Mus musculus
Q8IWY4	signal peptide, CUB domain, EGF-like 1	Homo sapiens
Q9UGM6	tryptophanyl tRNA synthetase 2, mitochondrial	Homo sapiens
Q689D1	toll-like receptor 2	Canis lupus
Q5RFI8	phosphoglucomutase 2	Pongo abelii
P33947	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	Homo sapiens
O15118	Niemann-Pick disease, type C1	Homo sapiens
Q2TBI2	THAP domain containing 4	Bos taurus
P55036	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	Homo sapiens
B7ZCC9	G protein-coupled receptor 112	Mus musculus
O75936	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1	Homo sapiens
P61460	DEP domain containing 5	Mus musculus
Q5U3Y5	SFT2 domain containing 1	Rattus norvegicus
Q9Z2U1	proteasome (prosome, macropain) subunit, alpha type 5	Mus musculus
P16393	HMGCoA reductase	Strongylocentrotus purpuratus
O14874	branched chain ketoacid dehydrogenase kinase	Homo sapiens
Q5MJS3	family with sequence similarity 20, member C	Mus musculus
	Q29384		
	Q64I00		
	D3ZVP7		
	A5HNF6		
	Q9PTW9		
	F6P3G4		
	Q28F07		
	D0Z9R0		
	Q9IB84		
	Q9U943		
	Q4R6V2		
	P31403		
	P54814		
	Q58A42		
	O54981		
	P0CC00		
	Q04832		
	Q54BU4		
	Column3		
	P20690		
	P0CG13		
	O75343		
	P02740		
	P14133		
	E1C7T6		
	Q869V1		
	P14380		
	E1BPN0		
	P43141		
	O02833		
	B6P4U0		
	Q4R562		
	Q4R5V2		
	Q6B4U9		
	Q86GC8		
	Q26534		
	P94681		
	D3ZPX4		
	Q91090		
	P28175		
	Q4R5G7		
	Q9XY07		
	Q90368		
	Q29261		
	Q0ZDF7		
	Q8MPM1		
	P04323		
	D4A1J4		
	P34147		
	P33497		
	Q9U8W7		
	Q55E72		
	Q75JF3		
	F7J220		
	O35920		
	P51821		
	Q4R4Q6		
	P81601		
	Q8HYJ4		
	E1C231		
	Q54HH2		
	Q8I7P9		
	P31319		
	Q54F25		
	Q4AEH5		
	Q8HYL8		
	Q5DC69		
	P14198		
	P62335		
	Q54TR1		
	Q91175		
	Q75J93		
	Q60HF3		
	Q95NR9		
	O54694		
	Q54KA7		
	P21328		
	Q1KKZ1		
	O57478		
	P54632		
	P10160		
	Q9MYM7		
	E1BK52		
