Contig,Blastx_spID,Blastx_Description,Blastx_e-value,DEG_log2FoldChange,DEG_padj,Enriched_GO_Terms
Phel_contig_22687,,,,,,
Phel_contig_22688,,,,,,
Phel_contig_22689,,,,,,
Phel_contig_2269,,,,1.726450205,0.002520713,
Phel_contig_22690,,,,,,
Phel_contig_22691,,,,,,
Phel_contig_22692,Q9TXQ1,Poly(ADP-ribose) polymerase pme-5 (EC 2.4.2.30) (Poly ADP-ribose metabolism enzyme 5),2.00E-11,,,
Phel_contig_22693,,,,,,
Phel_contig_22694,,,,,,
Phel_contig_22695,P59382,Peroxisomal membrane protein 4 (24 kDa peroxisomal intrinsic membrane protein),2.00E-79,,,
Phel_contig_22696,,,,,,
Phel_contig_22697,Q96SB8,Structural maintenance of chromosomes protein 6 (SMC protein 6) (SMC-6) (hSMC6),1.00E-63,,,
Phel_contig_22698,Q7NUB6,3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase),1.00E-20,,,
Phel_contig_22699,,,,,,
Phel_contig_227,,,,,,
Phel_contig_2270,,,,,,
Phel_contig_22700,P38652,Phosphoglucomutase-1 (PGM 1) (EC 5.4.2.2) (Glucose phosphomutase 1),2.00E-74,,,
Phel_contig_22701,,,,,,
Phel_contig_22703,,,,,,
Phel_contig_22704,,,,,,
Phel_contig_22705,Q6DFL0,Coiled-coil domain-containing protein 102A,5.00E-26,,,
Phel_contig_22706,Q7KRY7,Protein lap4 (Protein scribble) (Protein smell-impaired),5.00E-51,,,
Phel_contig_22707,,,,,,
Phel_contig_22708,,,,,,
Phel_contig_22709,Q9HBM0,Vezatin,9.00E-10,,,
Phel_contig_2271,,,,,,
Phel_contig_22710,,,,,,
Phel_contig_22711,,,,-2.747729051,0.015255781,
Phel_contig_22712,,,,,,
Phel_contig_22713,O53510,Serine/threonine-protein kinase PknL (EC 2.7.11.1),1.00E-17,,,
Phel_contig_22714,,,,,,
Phel_contig_22715,Q95KI4,Modulator of apoptosis 1 (MAP-1),2.00E-07,,,
Phel_contig_22716,,,,,,
Phel_contig_22717,Q5T440,"Putative transferase CAF17, mitochondrial (EC 2.1.-.-) (Iron-sulfur cluster assembly factor homolog)",3.00E-72,,,
Phel_contig_22719,Q9CQ40,"39S ribosomal protein L49, mitochondrial (L49mt) (MRP-L49)",2.00E-17,,,
Phel_contig_2272,,,,,,
Phel_contig_22720,Q91628,Origin recognition complex subunit 2 (xORC2),1.00E-52,,,
Phel_contig_22721,Q8BTQ0,Polycomb group RING finger protein 3 (RING finger protein 3A),3.00E-90,,,
Phel_contig_22722,Q9BRS8,La-related protein 6 (Acheron) (Achn) (La ribonucleoprotein domain family member 6),3.00E-18,,,
Phel_contig_22723,,,,,,
Phel_contig_22724,Q9GV77,Extracellular matrix protein 3 (FREM2 homolog),3.00E-75,,,
Phel_contig_22726,Q9HAZ2,PR domain zinc finger protein 16 (PR domain-containing protein 16) (Transcription factor MEL1) (MDS1/EVI1-like gene 1),3.00E-09,,,
Phel_contig_22727,Q29RP1,Ubiquitin carboxyl-terminal hydrolase 1 (EC 3.4.19.12) (Deubiquitinating enzyme 1) (Ubiquitin thioesterase 1) (Ubiquitin-specific-processing protease 1),4.00E-27,,,
Phel_contig_22728,,,,,,
Phel_contig_22729,,,,,,
Phel_contig_2273,,,,,,
Phel_contig_22730,,,,,,
Phel_contig_22731,,,,,,
Phel_contig_22732,,,,,,
Phel_contig_22733,Q90669,Activin receptor type-2A (EC 2.7.11.30) (Activin receptor type IIA) (ACTR-IIA) (ACTRIIA),4.00E-24,,,
Phel_contig_22734,A6NNX1,RIIa domain-containing protein 1,2.00E-21,,,
Phel_contig_22735,,,,,,
Phel_contig_22736,O01814,Fatty acid-binding protein homolog 5,4.00E-21,,,
Phel_contig_22737,,,,,,
Phel_contig_22738,,,,,,
Phel_contig_22739,Q5RBN8,Protein lin-54 homolog,3.00E-79,,,
Phel_contig_2274,O08774,Regulator of G-protein signaling 12 (RGS12),3.00E-39,,,
Phel_contig_22740,,,,,,
Phel_contig_22741,,,,,,
Phel_contig_22742,Q58CW6,Calcium-responsive transcription factor (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8 protein),3.00E-13,,,
Phel_contig_22743,Q9JYJ6,tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.-),1.00E-99,,,
Phel_contig_22744,,,,2.81148711,0.039616721,
Phel_contig_22745,,,,,,
Phel_contig_22746,,,,,,
Phel_contig_22747,,,,,,
Phel_contig_22748,,,,,,
Phel_contig_22749,P57028,DNA primase (EC 2.7.7.-),2.00E-80,,,
Phel_contig_2275,,,,,,
Phel_contig_22750,Q6ZQ89,E3 ubiquitin-protein ligase MARCH6 (EC 6.3.2.-) (Membrane-associated RING finger protein 6) (Membrane-associated RING-CH protein VI) (MARCH-VI),2.00E-59,,,
Phel_contig_22751,Q8WZ60,Kelch-like protein 6,1.00E-42,,,
Phel_contig_22752,,,,,,
Phel_contig_22753,P45261,Acetolactate synthase large subunit (AHAS) (EC 2.2.1.6) (Acetohydroxy-acid synthase large subunit) (ALS),2.00E-89,,,
Phel_contig_22754,,,,,,
Phel_contig_22755,Q3ZBL4,Leucine zipper transcription factor-like protein 1,1.00E-33,,,
Phel_contig_22756,,,,,,
Phel_contig_22757,,,,,,
Phel_contig_22758,,,,,,
Phel_contig_22759,Q5U575,Kelch-like protein 21,4.00E-15,,,
Phel_contig_2276,,,,,,
Phel_contig_22760,,,,,,
Phel_contig_22761,,,,,,
Phel_contig_22762,Q58206,Uncharacterized ABC transporter ATP-binding protein MJ0796,4.00E-20,,,
Phel_contig_22763,,,,,,
Phel_contig_22764,Q9NZJ4,Sacsin (DnaJ homolog subfamily C member 29) (DNAJC29),8.00E-43,,,
Phel_contig_22765,,,,,,
Phel_contig_22766,,,,,,
Phel_contig_22767,,,,,,
Phel_contig_22768,Q8CEE6,PAS domain-containing serine/threonine-protein kinase (PAS-kinase) (PASKIN) (EC 2.7.11.1),2.00E-17,,,
Phel_contig_22769,,,,-1.792115648,0.036014803,
Phel_contig_2277,,,,,,
Phel_contig_22770,,,,,,
Phel_contig_22771,,,,,,
Phel_contig_22772,,,,,,
Phel_contig_22773,,,,,,
Phel_contig_22774,Q96JK4,HHIP-like protein 1,8.00E-69,,,
Phel_contig_22775,,,,,,
Phel_contig_22777,,,,,,
Phel_contig_22778,Q15154,Pericentriolar material 1 protein (PCM-1) (hPCM-1),2.00E-06,,,
Phel_contig_22779,,,,,,
Phel_contig_2278,Q6ZUX7,Lipoma HMGIC fusion partner-like 2 protein,2.00E-28,-1.905977353,0.000402679,
Phel_contig_22780,,,,,,
Phel_contig_22781,,,,,,
Phel_contig_22782,Q8IZU8,Dermatan-sulfate epimerase-like protein (EC 5.1.-.-),1.00E-43,,,
Phel_contig_22783,Q7Z7L9,Zinc finger and SCAN domain-containing protein 2 (Zinc finger protein 29 homolog) (Zfp-29) (Zinc finger protein 854),3.00E-101,-4.771452948,4.53E-10,
Phel_contig_22784,,,,,,
Phel_contig_22785,,,,,,
Phel_contig_22786,,,,,,
Phel_contig_22787,,,,,,
Phel_contig_22788,,,,,,
Phel_contig_22789,,,,,,
Phel_contig_2279,,,,,,
Phel_contig_22790,,,,,,
Phel_contig_22791,,,,,,
Phel_contig_22792,,,,,,
Phel_contig_22793,Q86YS7,C2 domain-containing protein 5 (C2 domain-containing phosphoprotein of 138 kDa),1.00E-70,,,
Phel_contig_22794,Q7WCX5,Probable parvulin-type peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Rotamase),4.00E-15,,,
Phel_contig_22795,,,,,,
Phel_contig_22796,,,,,,
Phel_contig_22797,D3ZY60,Pleckstrin homology domain-containing family A member 8 (PH domain-containing family A member 8) (Phosphatidylinositol-four-phosphate adapter protein 2) (FAPP-2) (Phosphoinositol 4-phosphate adapter protein 2),2.00E-30,,,
Phel_contig_22799,O25832,Uncharacterized transporter HP_1234,4.00E-08,,,
Phel_contig_228,,,,,,
Phel_contig_2280,Q9D0P0,Emopamil-binding protein-like (Emopamil-binding-related protein),5.00E-55,,,
Phel_contig_22800,P44170,Uncharacterized protein HI_1376,3.00E-21,,,
Phel_contig_22801,,,,,,
Phel_contig_22802,P49915,GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase),5.00E-115,,,
Phel_contig_22803,,,,,,
Phel_contig_22804,,,,,,
Phel_contig_22805,Q8K1X1,WD repeat-containing protein 11 (Bromodomain and WD repeat-containing protein 2),3.00E-96,,,
Phel_contig_22806,,,,,,
Phel_contig_22807,Q9JTA6,Alanine racemase (EC 5.1.1.1),4.00E-56,,,
Phel_contig_22808,,,,,,
Phel_contig_22809,,,,-3.45623845,0.010175734,
Phel_contig_2281,,,,,,
Phel_contig_22810,,,,-3.25509925,0.028534015,
Phel_contig_22811,,,,,,
Phel_contig_22812,,,,,,
Phel_contig_22813,O60244,Mediator of RNA polymerase II transcription subunit 14 (Activator-recruited cofactor 150 kDa component) (ARC150) (Cofactor required for Sp1 transcriptional activation subunit 2) (CRSP complex subunit 2) (Mediator complex subunit 14) (RGR1 homolog) (hRGR1) (Thyroid hormone receptor-associated protein complex 170 kDa component) (Trap170) (Transcriptional coactivator CRSP150) (Vitamin D3 receptor-interacting protein complex 150 kDa component) (DRIP150),3.00E-19,,,
Phel_contig_22814,O43149,Zinc finger ZZ-type and EF-hand domain-containing protein 1,1.00E-29,,,
Phel_contig_22815,Q2QLB5,"Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1 (Germ cell-specific ankyrin, SAM and basic leucine zipper domain-containing protein)",5.00E-33,,,
Phel_contig_22816,,,,,,
Phel_contig_22818,,,,,,
Phel_contig_22819,,,,,,
Phel_contig_2282,,,,,,
Phel_contig_22820,Q9DEX7,Fatty acid desaturase 2 (EC 1.14.19.-) (Delta(5)/Delta(6) fatty acid desaturase) (D5D/D6D fatty acid desaturase) (Delta-5/Delta-6 fatty acid desaturase),3.00E-51,,,
Phel_contig_22821,,,,,,
Phel_contig_22822,Q8KSB6,Single-stranded DNA-binding protein (SSB) (Helix-destabilizing protein),1.00E-51,,,
Phel_contig_22823,Q5Z1W2,50S ribosomal protein L4,5.00E-98,,,
Phel_contig_22824,,,,,,
Phel_contig_22825,Q60519,Semaphorin-5B (Semaphorin-G) (Sema G),1.00E-08,,,
Phel_contig_22826,P20506,L-Threonine dehydratase biosynthetic IlvA (EC 4.3.1.19) (Threonine deaminase),9.00E-58,,,
Phel_contig_22827,,,,,,
Phel_contig_22828,Q99666,RANBP2-like and GRIP domain-containing protein 5/6 (Ran-binding protein 2-like 1/2) (RanBP2-like 1/2) (RanBP2L1) (RanBP2L2) (Sperm membrane protein BS-63),2.00E-123,,,
Phel_contig_22829,A6QLU6,Probable G-protein coupled receptor 133,6.00E-23,,,
Phel_contig_2283,C3YFB4,Anamorsin homolog (Fe-S cluster assembly protein DRE2 homolog),7.00E-67,2.2106501,0.000669775,
Phel_contig_22831,,,,,,
Phel_contig_22832,,,,,,
Phel_contig_22833,,,,,,
Phel_contig_22834,,,,,,
Phel_contig_22835,P0C5C0,ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-),5.00E-91,,,
Phel_contig_22836,Q9D2N9,Vacuolar protein sorting-associated protein 33A,3.00E-82,,,
Phel_contig_22837,,,,,,
Phel_contig_22838,,,,,,
Phel_contig_22839,,,,,,
Phel_contig_2284,,,,,,
Phel_contig_22840,,,,,,
Phel_contig_22841,,,,,,
Phel_contig_22842,,,,,,
Phel_contig_22843,,,,,,
Phel_contig_22845,Q9P1Q0,Vacuolar protein sorting-associated protein 54 (Hepatocellular carcinoma protein 8) (Tumor antigen HOM-HCC-8) (Tumor antigen SLP-8p),3.00E-94,,,
Phel_contig_22846,Q7NZ10,RNA pyrophosphohydrolase (EC 3.6.1.-) ((Di)nucleoside polyphosphate hydrolase),5.00E-27,,,
Phel_contig_22847,,,,,,
Phel_contig_22848,,,,,,
Phel_contig_22849,,,,-2.392737593,0.022246857,
Phel_contig_2285,,,,,,
Phel_contig_22850,,,,,,
Phel_contig_22851,Q80VL1,Tudor and KH domain-containing protein (Tudor domain-containing protein 2),3.00E-07,,,
Phel_contig_22852,,,,,,
Phel_contig_22853,,,,,,
Phel_contig_22854,,,,,,
Phel_contig_22855,,,,,,
Phel_contig_22856,,,,,,
Phel_contig_22857,,,,,,
Phel_contig_22858,Q47K28,UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase),6.00E-74,,,
Phel_contig_22859,,,,,,
Phel_contig_2286,,,,,,
Phel_contig_22860,P96285,Putative inactive phenolphthiocerol synthesis polyketide synthase type I Pks1,2.00E-09,,,
Phel_contig_22861,,,,,,
Phel_contig_22862,,,,,,
Phel_contig_22863,,,,,,
Phel_contig_22864,Q9MZT2,Sodium/nucleoside cotransporter 1 (Concentrative nucleoside transporter 1) (CNT 1) (Na(+)/nucleoside cotransporter 1) (Sodium-coupled nucleoside transporter 1) (Solute carrier family 28 member 1),3.00E-49,,,
Phel_contig_22865,,,,-3.401948191,0.024125436,
Phel_contig_22867,,,,,,
Phel_contig_22868,,,,,,
Phel_contig_22869,,,,,,
Phel_contig_2287,P53356,Tyrosine-protein kinase HTK16 (EC 2.7.10.2),9.00E-130,,,
Phel_contig_22870,C0ZZC1,N utilization substance protein B homolog (Protein NusB),3.00E-36,,,
Phel_contig_22871,,,,,,
Phel_contig_22872,Q5EA98,Microfibrillar-associated protein 1,6.00E-44,,,
Phel_contig_22873,,,,,,
Phel_contig_22874,,,,,,
Phel_contig_22875,,,,,,
Phel_contig_22876,,,,,,
Phel_contig_22877,,,,,,
Phel_contig_22879,,,,,,
Phel_contig_2288,,,,2.476230685,0.008727183,
Phel_contig_22880,,,,,,
Phel_contig_22881,,,,,,
Phel_contig_22882,,,,,,
Phel_contig_22883,,,,,,
Phel_contig_22885,,,,,,
Phel_contig_22886,,,,,,
Phel_contig_22887,,,,3.410876881,0.008584548,
Phel_contig_22888,Q9Y2U9,Kelch domain-containing protein 2 (Hepatocellular carcinoma-associated antigen 33) (Host cell factor homolog LCP) (Host cell factor-like protein 1) (HCLP-1),1.00E-52,,,
Phel_contig_22889,Q8KRU5,Phospholipase D (PLD) (EC 3.1.4.4) [Cleaved into: Phospholipase D catalytic chain; Phospholipase D regulatory chain],7.00E-54,,,
Phel_contig_2289,,,,4.094048109,1.56E-07,
Phel_contig_22891,,,,,,
Phel_contig_22892,Q7NSK3,Maf-like protein CV_3420,1.00E-37,,,
Phel_contig_22893,,,,-2.870843478,2.53E-05,
Phel_contig_22894,,,,,,
Phel_contig_22895,,,,,,
Phel_contig_22896,P30958,Transcription-repair-coupling factor (TRCF) (EC 3.6.4.-),9.00E-74,,,
Phel_contig_22897,,,,,,
Phel_contig_22899,Q00538,Methylenomycin A resistance protein (MMR peptide),7.00E-19,,,
Phel_contig_229,Q5ZL42,Basic leucine zipper and W2 domain-containing protein 2,4.00E-151,1.927269423,1.09E-05,
Phel_contig_2290,,,,-2.001464039,7.06E-05,
Phel_contig_22900,,,,,,
Phel_contig_22902,Q4ZZW2,Alanine racemase (EC 5.1.1.1),5.00E-44,,,
Phel_contig_22903,A7RLE5,Putative 2'-deoxynucleoside 5'-phosphate N-hydrolase 1 (EC 3.2.2.-),2.00E-50,,,
Phel_contig_22904,O15031,Plexin-B2 (MM1),3.00E-06,,,
Phel_contig_22905,,,,,,
Phel_contig_22906,P44714,PTS system fructose-specific EIIBC component (EIIBC-Fru) [Includes: Fructose-specific phosphotransferase enzyme IIB component (EC 2.7.1.69) (EIII-Fru) (PTS system fructose-specific EIIB component); Fructose permease IIC component (PTS system fructose-specific EIIC component)],5.00E-38,,,
Phel_contig_22907,Q7NUE3,tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.-) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD),6.00E-112,,,
Phel_contig_22909,,,,,,
Phel_contig_2291,,,,,,
Phel_contig_22910,,,,,,
Phel_contig_22911,,,,,,
Phel_contig_22912,Q5RDD2,Pre-mRNA-splicing factor 38A,4.00E-105,,,
Phel_contig_22913,Q9NU22,Midasin (MIDAS-containing protein),2.00E-38,,,
Phel_contig_22914,Q8VDC0,"Probable leucine--tRNA ligase, mitochondrial (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)",1.00E-146,,,
Phel_contig_22915,,,,,,
Phel_contig_22916,,,,,,
Phel_contig_22917,P57009,DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta),2.00E-125,,,
Phel_contig_22918,E2RKN7,F-box/LRR-repeat protein 15,2.00E-54,,,
Phel_contig_22919,,,,,,
Phel_contig_2292,P18433,Receptor-type tyrosine-protein phosphatase alpha (Protein-tyrosine phosphatase alpha) (R-PTP-alpha) (EC 3.1.3.48),0,,,
Phel_contig_22920,,,,,,
Phel_contig_22921,Q5R7H0,"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial (EC 1.2.4.2) (Dehydrogenase E1 and transketolase domain-containing protein 1)",2.00E-64,,,
Phel_contig_22922,Q0IH40,DNL-type zinc finger protein (mtHsp70-escort protein),6.00E-30,,,
Phel_contig_22923,Q5TCS8,Adenylate kinase 9 (AK 9) (EC 2.7.4.4) (EC 2.7.4.6) (Adenylate kinase domain-containing protein 1) (Adenylate kinase domain-containing protein 2),6.00E-155,,,
Phel_contig_22924,,,,,,
Phel_contig_22925,Q7Z6Z7,"E3 ubiquitin-protein ligase HUWE1 (EC 6.3.2.-) (ARF-binding protein 1) (ARF-BP1) (HECT, UBA and WWE domain-containing protein 1) (Homologous to E6AP carboxyl terminus homologous protein 9) (HectH9) (Large structure of UREB1) (LASU1) (Mcl-1 ubiquitin ligase E3) (Mule) (Upstream regulatory element-binding protein 1) (URE-B1) (URE-binding protein 1)",7.00E-69,,,
Phel_contig_22926,,,,-2.405577389,0.040074181,
Phel_contig_22928,,,,,,
Phel_contig_22929,Q9JJK4,Peroxisomal biogenesis factor 3 (Peroxin-3) (Peroxisomal assembly protein PEX3),2.00E-69,,,
Phel_contig_2293,Q5ZKH3,Polycomb protein EED,0,,,
Phel_contig_22930,,,,,,
Phel_contig_22931,,,,,,
Phel_contig_22932,A6H694,Leucine-rich repeat-containing protein 63,7.00E-20,,,
Phel_contig_22933,Q8K9Z1,Riboflavin biosynthesis protein RibF [Includes: Riboflavin kinase (EC 2.7.1.26) (Flavokinase); FMN adenylyltransferase (EC 2.7.7.2) (FAD pyrophosphorylase) (FAD synthase)],1.00E-62,,,
Phel_contig_22934,,,,,,
Phel_contig_22935,Q46127,Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS),2.00E-156,,,
Phel_contig_22936,Q7NS23,"5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)",3.00E-104,,,
Phel_contig_22937,,,,,,
Phel_contig_22938,,,,,,
Phel_contig_22939,Q5ZIN0,Monoacylglycerol lipase ABHD12 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 12),7.00E-15,,,
Phel_contig_2294,,,,,,
Phel_contig_22941,,,,,,
Phel_contig_22942,,,,,,
Phel_contig_22943,,,,,,
Phel_contig_22944,,,,,,
Phel_contig_22945,,,,,,
Phel_contig_22946,,,,,,
Phel_contig_22947,Q9DGH0,Twisted gastrulation protein homolog 1-A,1.00E-11,,,
Phel_contig_22948,,,,,,
Phel_contig_22949,Q14008,Cytoskeleton-associated protein 5 (Colonic and hepatic tumor overexpressed gene protein) (Ch-TOG),9.00E-109,,,
Phel_contig_2295,Q99JD4,CLIP-associating protein 2 (Cytoplasmic linker-associated protein 2),6.00E-177,,,
Phel_contig_22950,Q8HY67,Acidic leucine-rich nuclear phosphoprotein 32 family member A (Inhibitor-1 of protein phosphatase type 2A),4.00E-48,,,
Phel_contig_22951,,,,,,
Phel_contig_22952,A7RZW4,Dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl arylamidase III) (Dipeptidyl peptidase III) (DPP III),6.00E-75,,,
Phel_contig_22953,,,,,,
Phel_contig_22954,,,,,,
Phel_contig_22955,,,,,,
Phel_contig_22956,,,,,,
Phel_contig_22957,Q9CXD6,"Mitochondrial calcium uniporter regulator 1 (Coiled-coil domain-containing protein 90A, mitochondrial)",4.00E-32,,,
Phel_contig_22958,,,,,,
Phel_contig_22959,Q9CBB2,Probable o-succinylbenzoate synthase (OSB synthase) (OSBS) (EC 4.2.1.113) (4-(2'-carboxyphenyl)-4-oxybutyric acid synthase) (o-succinylbenzoic acid synthase),3.00E-49,,,
Phel_contig_2296,P61799,Aprataxin (EC 3.-.-.-) (Forkhead-associated domain histidine triad-like protein) (FHA-HIT),4.00E-63,-1.555528478,0.000589201,
Phel_contig_22960,Q49XK9,Putative branched-chain amino acid carrier protein SSP1343,2.00E-19,,,
Phel_contig_22961,Q05209,Tyrosine-protein phosphatase non-receptor type 12 (EC 3.1.3.48) (PTP-PEST) (Protein-tyrosine phosphatase G1) (PTPG1),2.00E-48,,,
Phel_contig_22962,Q6IQT4,COP9 signalosome complex subunit 2 (Signalosome subunit 2),1.00E-45,,,
Phel_contig_22963,Q6AYH2,INO80 complex subunit E (Coiled-coil domain-containing protein 95),2.00E-16,,,
Phel_contig_22964,,,,,,
Phel_contig_22965,A6NKF9,Putative Golgi pH regulator C (Protein GPR89C),4.00E-161,,,
Phel_contig_22966,,,,,,
Phel_contig_22967,P0A9G6,Isocitrate lyase (ICL) (Isocitrase) (Isocitratase) (EC 4.1.3.1),6.00E-67,,,
Phel_contig_22968,,,,,,
Phel_contig_22969,,,,,,
Phel_contig_2297,Q56A55,"ATP-binding cassette sub-family B member 8, mitochondrial",4.00E-34,,,
Phel_contig_22970,Q6CX96,"Iron-sulfur clusters transporter ATM1, mitochondrial",1.00E-13,,,
Phel_contig_22971,,,,,,
Phel_contig_22972,,,,,,
Phel_contig_22973,Q9JT86,Glycine dehydrogenase [decarboxylating] (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase),3.00E-105,,,
Phel_contig_22974,Q62901,Arginine-glutamic acid dipeptide repeats protein (Atrophin-1-related protein),1.00E-39,,,
Phel_contig_22975,,,,,,
Phel_contig_22976,,,,,,
Phel_contig_22977,,,,,,
Phel_contig_22978,Q5VZ89,DENN domain-containing protein 4C,2.00E-27,,,
Phel_contig_22979,,,,,,
Phel_contig_2298,,,,,,
Phel_contig_22980,P0ADX9,Ribosomal RNA small subunit methyltransferase D (EC 2.1.1.171) (16S rRNA m2G966 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase),2.00E-14,,,
Phel_contig_22981,,,,,,
Phel_contig_22983,Q9JZG4,DNA translocase FtsK 2,2.00E-127,,,
Phel_contig_22984,,,,,,
Phel_contig_22985,,,,,,
Phel_contig_22986,,,,,,
Phel_contig_22987,,,,,,
Phel_contig_22988,,,,,,
Phel_contig_22989,,,,,,
Phel_contig_2299,,,,,,
Phel_contig_22990,,,,,,
Phel_contig_22992,,,,,,
Phel_contig_22993,P29018,ATP-binding/permease protein CydD,4.00E-63,,,
Phel_contig_22994,A1T7Z0,1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS),5.00E-100,,,
Phel_contig_22995,Q8C110,SLIT and NTRK-like protein 6,3.00E-06,,,
Phel_contig_22996,,,,,,
Phel_contig_22997,,,,,,
Phel_contig_22998,,,,,,
Phel_contig_22999,Q86U02,Putative uncharacterized protein encoded by LINC00596,2.00E-17,,,
Phel_contig_23,,,,4.016728923,9.71E-08,
Phel_contig_230,Q3UHC7,Disabled homolog 2-interacting protein (DAB2-interacting protein) (ASK-interacting protein 1) (DOC-2/DAB-2 interactive protein),8.00E-171,,,
Phel_contig_2300,,,,,,
Phel_contig_23000,B4RQW3,DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta'),7.00E-117,,,
Phel_contig_23001,Q8C9A2,Endonuclease V (EC 3.1.26.-),6.00E-73,,,
Phel_contig_23002,P51175,Protoporphyrinogen oxidase (PPO) (EC 1.3.3.4),1.00E-46,,,
Phel_contig_23003,Q6ZYL4,General transcription factor IIH subunit 5 (General transcription factor IIH polypeptide 5) (TFB5 ortholog) (TFIIH basal transcription factor complex TTD-A subunit),2.00E-24,,,
Phel_contig_23004,,,,,,
Phel_contig_23005,P08548,LINE-1 reverse transcriptase homolog (EC 2.7.7.49),3.00E-52,,,
Phel_contig_23006,Q9D0P8,Intraflagellar transport protein 27 homolog (Putative GTP-binding protein RAY-like) (Rab-like protein 4),7.00E-26,,,
Phel_contig_23007,,,,,,
Phel_contig_23008,P50169,Retinol dehydrogenase 3 (EC 1.1.1.105) (Retinol dehydrogenase type I) (RODH I),5.00E-78,-2.784861413,0.02118616,
Phel_contig_23009,,,,,,
Phel_contig_2301,,,,,,
Phel_contig_23010,Q9JXR2,GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase),3.00E-155,,,
Phel_contig_23011,,,,,,
Phel_contig_23012,Q8K485,BTB/POZ domain-containing protein KCTD11,2.00E-06,,,
Phel_contig_23013,,,,,,
Phel_contig_23014,,,,,,
Phel_contig_23015,,,,,,
Phel_contig_23016,Q8FN65,Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS),2.00E-129,,,
Phel_contig_23017,Q83KI8,UPF0053 protein YegH,4.00E-76,,,
Phel_contig_23018,Q95KD7,Coiled-coil domain-containing protein KIAA1407 homolog,5.00E-21,,,
Phel_contig_23019,Q9GZU5,Nyctalopin,1.00E-18,,,
Phel_contig_2302,Q86YQ8,Copine-8 (Copine VIII),0,,,
Phel_contig_23020,,,,,,
Phel_contig_23021,,,,,,
Phel_contig_23022,A6QP05,Dehydrogenase/reductase SDR family member 12 (EC 1.1.-.-),3.00E-123,,,
Phel_contig_23023,,,,,,
Phel_contig_23024,Q9CY34,NEDD8-conjugating enzyme UBE2F (EC 6.3.2.-) (NEDD8 carrier protein UBE2F) (NEDD8 protein ligase UBE2F) (NEDD8-conjugating enzyme 2) (Ubiquitin-conjugating enzyme E2 F),1.00E-67,,,
Phel_contig_23026,,,,,,
Phel_contig_23027,,,,,,
Phel_contig_23028,,,,,,
Phel_contig_23029,,,,,,
Phel_contig_2303,,,,,,
Phel_contig_23030,,,,,,
Phel_contig_23031,,,,,,
Phel_contig_23032,,,,,,
Phel_contig_23033,P23886,ATP-binding/permease protein CydC,3.00E-15,,,
Phel_contig_23034,,,,,,
Phel_contig_23035,,,,,,
Phel_contig_23036,,,,,,
Phel_contig_23038,,,,,,
Phel_contig_23039,,,,,,
Phel_contig_2304,,,,,,
Phel_contig_23040,,,,,,
Phel_contig_23041,,,,,,
Phel_contig_23043,,,,-2.472984657,0.004839309,
Phel_contig_23044,,,,,,
Phel_contig_23045,P45161,D-alanyl-D-alanine carboxypeptidase DacB (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (D-alanyl-D-alanine endopeptidase) (DD-endopeptidase) (EC 3.4.21.-) (Penicillin-binding protein 4) (PBP-4),4.00E-15,,,
